,train/loss,train/loss_step,train/loss_epoch,nfe,integ_error,val/rfm_loss,val/rfm_loss_epoch,val/loss,val/loss_epoch,val/loss_best,test/loss,test_vec/rfm_loss,test_vec/alignment,test_vec/finite_fraction,test_vec/norm_mean,test_vec/norm_max,test_vec/norm_std,test_vec/norm_p95,test_vec/tangency_violation_abs,test_vec/tangency_violation_rel,test_sample/sinkhorn_knopp,test_sample/tangent_sinkhorn_knopp,test_sample/tangent_to_geodesic_sinkhorn_ratio,test_sample/epsilon_coverage,test_sample/epsilon_precision,test_sample/frechet_variance_pred,test_sample/frechet_variance_target,test_sample/frechet_variance_ratio,test_sample/dispersion_predicted,test_sample/dispersion_target,test_sample/dispersion_ratio,test_sample/volume_scaling_mean_pred,test_sample/volume_scaling_mean_target,test_sample/volume_scaling_variance_pred,test_sample/volume_scaling_variance_target,test_sample/volume_scaling_gap_target_minus_pred,test_sample/volume_scaling_mean_start,test_sample/volume_scaling_variance_start,test_sample/volume_scaling_gap_start_target,test_sample/finite_fraction,test_sample/geodesic_dist,manifold,curvature,dim,x0_dist,x1_dist,n_samples,std_x0,std_x1,mean_x0,mean_x1,radius_x1,weights,origin,normalize_tangent_distributions,lr-AdamW,test_sample/mmd
general__c10_std0.3_fourier16_seed34,145.41542053222656,123.64704895019531,145.41542053222656,108.5,0.0,,,,,,-1.0373378992080688,51.54817581176758,0.0,1.0,2.9018607139587402,76.58856964111328,6.5579681396484375,14.565569877624512,1.0000001111620804e-06,3.3717105907271616e-06,0.43315833806991577,0.17704929411411285,0.4087403416633606,0.33133333921432495,0.31933334469795227,2.0788776874542236,2.368720054626465,0.877637505531311,2.2870514392852783,2.4917073249816895,0.9178652167320251,15.953089714050293,19.325843811035156,201.61947631835938,224.29049682617188,3.3727543354034424,1.361095666885376,0.1827947348356247,17.96474838256836,1.0,2.402660846710205,poincare,10,2,gaussian,checkerboard,60000,0.3,,"[0.0, 0.0]",,1,,,False,,
general__c10_std0.3_fourier16_seed42,147.23387145996094,142.9600830078125,147.23387145996094,118.0,0.0,,,,,,-1.1864761114120483,53.731719970703125,0.0,1.0,2.9589388370513916,90.0144271850586,6.667635440826416,14.248275756835938,1.0000001111620804e-06,3.0446819891949417e-06,0.41486698389053345,0.13894696533679962,0.3349193036556244,0.374833345413208,0.34549999237060547,2.1622796058654785,2.4146029949188232,0.8955010771751404,2.353889226913452,2.521554946899414,0.9335070252418518,16.78751564025879,19.799551010131836,207.26312255859375,227.01197814941406,3.012035369873047,1.3596394062042236,0.19676421582698822,18.439910888671875,1.0,2.4422714710235596,poincare,10,2,gaussian,checkerboard,60000,0.3,,"[0.0, 0.0]",,1,,,False,,
general__c10_std0.3_fourier16_seed50,146.1590576171875,152.38162231445312,146.1590576171875,116.0,0.0,,,,,,-1.1085803508758545,49.09720993041992,0.0,1.0,2.867521047592163,77.54813385009766,6.35448694229126,14.301946640014648,1.0000001111620804e-06,3.1861213756201323e-06,0.3896436095237732,0.17010095715522766,0.4365552067756653,0.33533331751823425,0.33399999141693115,2.1218724250793457,2.4047319889068604,0.8823737502098083,2.3096017837524414,2.5152552127838135,0.918237566947937,16.736682891845703,19.70348358154297,215.675537109375,227.460205078125,2.9668006896972656,1.35921049118042,0.19324107468128204,18.34427261352539,1.0,2.411396026611328,poincare,10,2,gaussian,checkerboard,60000,0.3,,"[0.0, 0.0]",,1,,,False,,
general__c10_std0.5_fourier16_seed34,152.8162384033203,216.6859130859375,152.8162384033203,128.5,0.0,147.68939208984375,147.68939208984375,0.8779947757720947,0.8779947757720947,0.8779947757720947,0.8126813769340515,80.23961639404297,0.0,1.0,3.4529666900634766,119.86726379394531,8.253863334655762,16.70491600036621,1.0000001111620804e-06,3.4408819828968262e-06,0.40212324261665344,0.15468871593475342,0.3846798539161682,0.34983333945274353,0.3240000009536743,1.9647010564804077,2.368720054626465,0.8294357061386108,2.2685976028442383,2.4917073249816895,0.910459041595459,12.996532440185547,19.325843811035156,133.296875,224.29049682617188,6.329311370849609,2.4245848655700684,5.4802446365356445,16.90125846862793,1.0,2.3900420665740967,poincare,10,2,gaussian,checkerboard,60000,0.5,,"[0.0, 0.0]",,1,,,False,,
general__c10_std0.5_fourier16_seed42,156.47007751464844,157.23048400878906,156.47007751464844,136.0,0.0,152.68077087402344,152.68077087402344,1.4720418453216553,1.4720418453216553,1.4720417261123657,1.4301767349243164,74.54142761230469,0.0,1.0,3.328700542449951,120.41820526123047,7.924715518951416,15.56472110748291,1.0000001111620804e-06,3.558814114512643e-06,0.4499751329421997,0.16638170182704926,0.3697575628757477,0.375166654586792,0.35616666078567505,1.902073621749878,2.4146029949188232,0.7877375483512878,2.219963550567627,2.521554946899414,0.880394697189331,12.343899726867676,19.799551010131836,120.27278900146484,227.01197814941406,7.455650806427002,2.440383195877075,6.489813804626465,17.359167098999023,1.0,2.375772714614868,poincare,10,2,gaussian,checkerboard,60000,0.5,,"[0.0, 0.0]",,1,,,False,,
general__c10_std0.5_fourier16_seed50,154.97830200195312,158.89227294921875,154.97830200195312,133.5,0.0,145.4654541015625,145.4654541015625,1.2043179273605347,1.2043179273605347,1.2043179273605347,1.101080298423767,74.6006088256836,0.0,1.0,3.3844082355499268,121.58763885498047,7.910196781158447,16.35696029663086,1.0000001111620804e-06,3.3356786843796726e-06,0.42856982350349426,0.16542011499404907,0.3859816789627075,0.3766666650772095,0.336166650056839,1.9383727312088013,2.4047319889068604,0.8060659766197205,2.250307083129883,2.5152552127838135,0.8946635127067566,12.589174270629883,19.70348358154297,121.63079071044922,227.460205078125,7.114309310913086,2.4372525215148926,6.271617889404297,17.266231536865234,1.0,2.3797388076782227,poincare,10,2,gaussian,checkerboard,60000,0.5,,"[0.0, 0.0]",,1,,,False,,
general__c10_std0.7_fourier16_seed34,223.60572814941406,251.77059936523438,223.60572814941406,368.5,0.0010522282682359219,,,,,,4.93048620223999,16.814756393432617,0.0,1.0,1.5773319005966187,89.27354431152344,3.778360605239868,7.468662738800049,1.0000001111620804e-06,8.327637260663323e-06,0.4089708626270294,0.2673364281654358,0.6536808609962463,0.3241666555404663,0.31049999594688416,1.7414885759353638,2.368720054626465,0.7352023720741272,2.051114082336426,2.4917073249816895,0.8231760859489441,12.456273078918457,19.325843811035156,174.92405700683594,224.29049682617188,6.869570732116699,5.305792808532715,51.472511291503906,14.020051002502441,1.0,2.2880654335021973,poincare,10,2,gaussian,checkerboard,60000,0.7,,"[0.0, 0.0]",,1,,,False,,
general__c10_std0.7_fourier16_seed42,188.18756103515625,165.27548217773438,188.18756103515625,286.0,0.0002815723419189453,183.88319396972656,183.88319396972656,3.193819046020508,3.193819046020508,3.193819046020508,3.2321693897247314,77.00062561035156,0.0,1.0,3.4087326526641846,127.57908630371094,8.035513877868652,15.537857055664062,1.0000001111620804e-06,3.039034027096932e-06,0.4022800028324127,0.11210855841636658,0.2786828875541687,0.40166667103767395,0.3713333308696747,2.0942513942718506,2.4146029949188232,0.8673274517059326,2.339228391647339,2.521554946899414,0.9276928901672363,15.108654022216797,19.799551010131836,168.64199829101562,227.01197814941406,4.6908979415893555,5.308652877807617,54.45806884765625,14.490898132324219,1.0,2.43537974357605,poincare,10,2,gaussian,checkerboard,60000,0.7,,"[0.0, 0.0]",,1,,,False,,
general__c10_std0.7_fourier16_seed50,188.498046875,202.10552978515625,188.498046875,217.0,0.00021089862275402993,182.31068420410156,182.31068420410156,3.488374948501587,3.488374948501587,3.488374948501587,3.4014124870300293,76.42198944091797,0.0,1.0,3.447826862335205,128.1973114013672,7.9744367599487305,16.097373962402344,1.0000001111620804e-06,2.9918917334725847e-06,0.4325508773326874,0.13709154725074768,0.3169374167919159,0.39383333921432495,0.36133334040641785,2.012981414794922,2.4047319889068604,0.8370918035507202,2.291721820831299,2.5152552127838135,0.9111288785934448,13.9258394241333,19.70348358154297,153.69500732421875,227.460205078125,5.77764368057251,5.320719242095947,55.51036071777344,14.382763862609863,1.0,2.40108060836792,poincare,10,2,gaussian,checkerboard,60000,0.7,,"[0.0, 0.0]",,1,,,False,,
general__c1_std0.3_fourier16_seed34,0.8982115983963013,0.9026386737823486,0.8982115983963013,56.0,0.0,,,,,,1.9145387411117554,1.5599976778030396,0.0,1.0,1.112550973892212,5.241264820098877,0.5667374730110168,2.108738422393799,1.0000001111620804e-06,1.332037641077477e-06,0.3652229309082031,0.028999442234635353,0.07940202206373215,0.3386666774749756,0.3109999895095825,2.6927270889282227,2.6228268146514893,1.0266507863998413,2.2553353309631348,2.225276231765747,1.0135080814361572,1.5538945198059082,1.5355247259140015,0.191794291138649,0.14748995006084442,-0.01836979389190674,1.0306153297424316,0.0009248859132640064,0.5049093961715698,1.0,2.2539942264556885,poincare,1,2,gaussian,checkerboard,60000,0.3,,"[0.0, 0.0]",,1,,,False,,
