,train/loss,train/loss_step,lr-AdamW,train/loss_epoch,nfe,integ_error,val/rfm_loss,val/rfm_loss_epoch,val/loss,val/loss_epoch,val/loss_best,test/loss,test_vec/rfm_loss,test_vec/alignment,test_vec/finite_fraction,test_vec/norm_mean,test_vec/norm_max,test_vec/norm_std,test_vec/norm_p95,test_vec/tangency_violation_abs,test_vec/tangency_violation_rel,test_sample/sinkhorn_knopp,test_sample/tangent_sinkhorn_knopp,test_sample/tangent_to_geodesic_sinkhorn_ratio,test_sample/epsilon_coverage,test_sample/epsilon_precision,test_sample/frechet_variance_pred,test_sample/frechet_variance_target,test_sample/frechet_variance_ratio,test_sample/dispersion_predicted,test_sample/dispersion_target,test_sample/dispersion_ratio,test_sample/volume_scaling_mean_pred,test_sample/volume_scaling_mean_target,test_sample/volume_scaling_variance_pred,test_sample/volume_scaling_variance_target,test_sample/volume_scaling_gap_target_minus_pred,test_sample/volume_scaling_mean_start,test_sample/volume_scaling_variance_start,test_sample/volume_scaling_gap_start_target,test_sample/finite_fraction,test_sample/geodesic_dist,manifold,curvature,dim,x0_dist,x1_dist,n_samples,std_x0,std_x1,mean_x0,mean_x1,radius_x1,weights,origin,normalize_tangent_distributions
2026.05.21__162720,1.2772490978240967,1.165989875793457,9.99248877633363e-05,1.2772490978240967,124.5,0.0,,,,,,5.960514545440674,59.47917556762695,0.0,1.0,7.634123802185059,8.681113243103027,1.0927318334579468,8.463675498962402,0.0,0.0,0.08707726746797562,0.08707726746797562,1.0,0.44449999928474426,0.41466665267944336,32.269893646240234,32.037330627441406,1.0072591304779053,10.24386215209961,10.200725555419922,1.0042288303375244,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.183192253112793,euclidean,0,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",8,,,False
2026.05.21__162721,0.2232533097267151,0.2452777624130249,9.925681661115959e-05,0.2232533097267151,112.5,8.588035598222632e-06,0.22429510951042175,0.22429510951042175,1.8110631704330444,1.8110631704330444,1.8110631704330444,1.788830280303955,5.671471118927002,0.0,1.0,2.3721296787261963,2.875105381011963,0.2086843103170395,2.620582342147827,1.0014030067395652e-06,4.305385061798006e-07,0.16070014238357544,0.0284025389701128,0.17674247920513153,0.8920000195503235,0.9096666574478149,0.09154309332370758,0.0910416841506958,1.005507469177246,0.37086009979248047,0.3613746464252472,1.0262483358383179,0.20654736459255219,0.20132963359355927,0.007129722740501165,0.006245414726436138,-0.00521773099899292,0.9700312614440918,0.0008761702920310199,-0.7687015533447266,1.0,0.364647775888443,sphere,1,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",8,,,False
2026.05.21__162805,0.0953257754445076,0.094696044921875,9.812489588512108e-05,0.0953257754445076,38.0,0.0,0.10209178924560547,0.10209178924560547,5.1311869621276855,5.1311869621276855,5.1311869621276855,5.125040531158447,0.6694353222846985,0.0,1.0,0.741934597492218,1.858710765838623,0.3442816436290741,1.411473035812378,0.0,0.0,0.05869920179247856,0.05869920179247856,1.0,0.4814999997615814,0.4645000100135803,0.41040247678756714,0.35903629660606384,1.1430667638778687,1.4571906328201294,1.3717093467712402,1.0623173713684082,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.4195588827133179,euclidean,0,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162810,0.09498167783021927,0.09028393030166626,9.852721996139735e-05,0.09498167783021927,49.5,0.0,0.10096028447151184,0.10096028447151184,5.127144813537598,5.127144813537598,5.127144813537598,5.124359607696533,0.6574794054031372,0.0,1.0,0.7349084615707397,1.8095325231552124,0.3423071801662445,1.3978792428970337,0.0,0.0,0.05773168429732323,0.05773168429732323,1.0,0.47099998593330383,0.47216665744781494,0.41060155630111694,0.3672361969947815,1.1180857419967651,1.4581141471862793,1.3878388404846191,1.0506365299224854,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.4354302883148193,euclidean,0,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162817,2.030590772628784,1.8222788572311401,9.95022855931893e-05,2.030590772628784,44.0,0.0,,,,,,3.255162477493286,5.339944839477539,0.0,1.0,1.8993887901306152,18.788740158081055,1.3089698553085327,4.244940280914307,1.0000001111620804e-06,7.073783763189567e-07,0.6645528674125671,0.05311276391148567,0.07992254942655563,0.47316667437553406,0.4494999945163727,5.469135284423828,4.875930309295654,1.1216598749160767,3.607414484024048,3.3856048583984375,1.0655155181884766,7.7328009605407715,6.2246785163879395,99.08744812011719,47.253326416015625,-1.5081218481063843,1.0953387022018433,0.007138059474527836,5.129339694976807,1.0,3.5021491050720215,poincare,1,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162818,0.21064595878124237,0.20944200456142426,9.911583038046956e-05,0.21064595878124237,62.0,2.453724619044806e-06,0.21221047639846802,0.21221047639846802,4.663193702697754,4.663193702697754,4.663193702697754,4.661591053009033,0.560869038105011,0.0,1.0,0.6757546663284302,1.446284294128418,0.32252612709999084,1.281411051750183,1.0000001111620804e-06,1.9448868897598004e-06,0.37799072265625,0.047117382287979126,0.12465222179889679,0.4858333468437195,0.4934999942779541,1.0287145376205444,1.013982892036438,1.014528512954712,1.233931064605713,1.2318761348724365,1.001668095588684,0.6770580410957336,0.6778208017349243,0.033458415418863297,0.031290486454963684,0.0007627606391906738,0.9139262437820435,0.004366637673228979,-0.23610544204711914,1.0,1.2324467897415161,sphere,1,4,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162819,0.09529151767492294,0.0941874086856842,9.812489588512108e-05,0.09529151767492294,38.0,0.0,0.10165625810623169,0.10165625810623169,5.1407270431518555,5.1407270431518555,5.140726566314697,5.138620853424072,0.6733746528625488,0.0,1.0,0.7442776560783386,1.8626059293746948,0.34479981660842896,1.393711805343628,0.0,0.0,0.05855853110551834,0.05855853110551834,1.0,0.4573333263397217,0.4436666667461395,0.4141600430011749,0.3603258728981018,1.1494040489196777,1.465533971786499,1.3744601011276245,1.0662615299224854,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.4099602699279785,euclidean,0,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162841,2.015735387802124,1.9479917287826538,9.981419862015173e-05,2.015735387802124,44.0,0.0,,,,,,3.265064239501953,5.199043273925781,0.0,1.0,1.888452172279358,16.9444522857666,1.2736676931381226,4.258707523345947,1.0000001111620804e-06,7.09073049165454e-07,0.6501778364181519,0.05287110060453415,0.08131790161132812,0.4699999988079071,0.45399999618530273,5.525976657867432,4.987268924713135,1.1080166101455688,3.6306676864624023,3.4332492351531982,1.0575019121170044,7.718789577484131,6.423219203948975,97.32209014892578,51.98463439941406,-1.2955703735351562,1.0968644618988037,0.007353859022259712,5.32635498046875,1.0,3.5559074878692627,poincare,1,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162842,0.21055640280246735,0.18991120159626007,9.95022855931893e-05,0.21055640280246735,62.0,1.157323481493222e-06,,,,,,4.623724937438965,0.5470643043518066,0.0,1.0,0.6681408882141113,1.4312891960144043,0.31685909628868103,1.277646541595459,1.0000001111620804e-06,1.931773113028612e-06,0.37217363715171814,0.044113341718912125,0.11852893978357315,0.48883333802223206,0.49566665291786194,1.0021735429763794,1.023126482963562,0.9795206785202026,1.221808910369873,1.2358310222625732,0.9886537194252014,0.6843756437301636,0.6747581958770752,0.03334079310297966,0.03152618929743767,-0.009617447853088379,0.9161243438720703,0.004271460697054863,-0.24136614799499512,1.0,1.2313687801361084,sphere,1,4,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162846,2.0706262588500977,2.242607593536377,9.974040585802868e-05,2.0706262588500977,44.0,0.0,,,,,,3.230217218399048,5.345210075378418,0.0,1.0,1.888604760169983,21.160215377807617,1.3222466707229614,4.087761402130127,1.0000001111620804e-06,7.071835739225207e-07,0.6980528235435486,0.052858203649520874,0.0757223516702652,0.4555000066757202,0.4346666634082794,5.472128391265869,4.8940229415893555,1.1181248426437378,3.608933687210083,3.394224166870117,1.0632572174072266,7.7603230476379395,6.261738300323486,93.41383361816406,46.95568084716797,-1.4985847473144531,1.0960863828659058,0.006911192089319229,5.165651798248291,1.0,3.4879000186920166,poincare,1,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
